"","x"
"1658","29095"
"1659","102724112"
"1660","5869"
"1661","64375"
"1662","6231"
"1663","5036"
"1664","6171"
"1665","23344"
"1666","140465"
"1667","4637"
"1668","6601"
"1669","79035"
"1670","1431"
"1671","10330"
"1672","9924"
"1673","6773"
"1674","27165"
"1675","5939"
"1676","11176"
"1677","10728"
"1678","4666"
"1679","9880"
"1680","4665"
"1681","6778"
"1682","4035"
"1683","6472"
"1684","246329"
"1685","22864"
"1686","83729"
"1687","4141"
"1688","10540"
"1689","3798"
"1690","79837"
"1691","115557"
"1692","10956"
"1693","6302"
"1694","92979"
"1695","25895"
"1696","10677"
"1697","10106"
"1698","9194"
"1699","338811"
"1700","9958"
"1701","23041"
"1702","57460"
"1703","283417"
"1704","57522"
"1705","144577"
"1706","283349"
"1707","2799"
"1708","23592"
"1709","253827"
"1710","51643"
"1711","11213"
"1712","92797"
"1713","23426"
"1714","55832"
"1715","8445"
"1716","56890"
"1717","57122"
"1718","55508"
"1719","1368"
"1720","11052"
"1721","10818"
"1722","196446"
"1723","101928062"
"1724","8549"
"1725","55266"
"1726","23011"
"1727","64786"
"1728","11010"
"1729","4673"
"1730","5074"
"1731","29080"
"1732","55117"
"1733","400058"
"1734","160418"
"1735","4254"
"1736","490"
"1737","338758"
"1738","4060"
"1739","1634"
"1740","440107"
"1741","8411"
"1742","7334"
"1743","8835"
"1744","8738"
"1745","57458"
"1746","55967"
"1747","10988"
"1748","84101"
"1749","4048"
"1750","2004"
"1751","121441"
"1752","5250"
"1753","121457"
"1754","23074"
"1755","55681"
"1756","400"
"1757","79158"
"1758","7184"
"1759","728568"
"1760","29915"
"1761","50515"
"1762","84102"
"1763","9891"
"1764","255394"
"1765","55188"
"1766","90488"
"1767","11153"
"1768","9733"
"1769","121642"
"1770","7374"
"1771","326625"
"1772","84915"
"1773","51228"
"1774","88455"
"1775","488"
"1776","51184"
"1777","29902"
"1778","160760"
"1779","79600"
"1780","160762"
"1781","10019"
"1782","6311"
"1783","8315"
"1784","80724"
"1785","51275"
"1786","10961"
"1787","10906"
"1788","283450"
"1789","6128"
"1790","5781"
"1791","84934"
"1792","53373"
"1793","80024"
"1794","196463"
"1795","9904"
"1796","6926"
"1797","23389"
"1798","79794"
"1799","84900"
"1800","8739"
"1801","54997"
"1802","23014"
"1803","51347"
"1804","64426"
"1805","26353"
"1806","160777"
"1807","5564"
"1808","11021"
"1809","10985"
"1810","6175"
"1811","100506649"
"1812","23409"
"1813","1337"
"1814","283459"
"1815","8655"
"1816","100506668"
"1817","84274"
"1818","51367"
"1819","84747"
"1820","121665"
"1821","80196"
"1822","54509"
"1823","144406"
"1824","6249"
"1825","65117"
"1826","8562"
"1827","79720"
"1828","23457"
"1829","79676"
"1830","51329"
"1831","57605"
"1832","10198"
"1833","55206"
"1834","353116"
"1835","10959"
"1836","1967"
"1837","79867"
"1838","23545"
"1839","80212"
"1840","144348"
"1841","9612"
"1842","57647"
"1843","114795"
"1844","121260"
"1845","2054"
"1846","5901"
"1847","80324"
"1848","57634"
"1849","317781"
"1850","57666"
"1851","2802"
"1852","55743"
"1853","7574"
"1854","7637"
"1855","101060200"
"1856","284232"
"1857","9205"
"1858","7750"
"1859","2700"
"1860","221143"
"1861","26524"
"1862","10284"
"1863","650794"
"1864","221154"
"1865","4285"
"1866","5042"
"1867","9818"
"1868","387914"
"1869","6049"
"1870","10810"
"1871","219333"
