"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"101","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0001_DAPI",89,22.395404494382,16.6516853932584,47.3483146067416,415.690269662921,1313.86516853933,415.690277749127
"102","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0002_DAPI",62,18.6079111111111,10.5333333333333,58.4,112.833688888889,347.888888888889,112.833624730425
"103","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0003_DAPI",52,15.4932121212121,10.1818181818182,41.6969696969697,82.0772121212121,222.909090909091,82.0771551424171
"104","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0004_DAPI",72,12.3451475409836,9.32786885245902,35.3770491803279,20.2926721311475,81.3770491803279,20.2927148238247
"105","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0005_DAPI",29,16.7749444444444,9.94444444444444,43.7222222222222,80.9649444444444,380.277777777778,80.9649170028197
"106","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0006_DAPI",115,15.4330681818182,10.1363636363636,49.0340909090909,49.0705909090909,127.204545454545,49.0705895011025
"107","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0007_DAPI",60,23.1331632653061,11.6530612244898,49.8367346938776,101.334163265306,419.571428571429,101.334101014396
"108","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0008_DAPI",69,15.9274912280702,9.82456140350877,51.1052631578947,55.266701754386,211.315789473684,55.2666943628112
"109","Ind4","84-1","VEH","24R","VEH_24R","20X","DMSO_24R_EMP_250904_RGB_0009_DAPI",19,21.8979333333333,9.4,72.5333333333333,114.645533333333,468.866666666667,114.645529576908
"110","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0001_DAPI",31,18.6461290322581,13.6451612903226,51.258064516129,240.412,777.161290322581,240.411965055734
"111","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0002_DAPI",35,24.9796285714286,15.3142857142857,73.1428571428571,293.941485714286,1180.97142857143,293.941283805896
"112","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0003_DAPI",68,14.8683134328358,12.134328358209,47.6567164179104,28.4304925373134,101.671641791045,28.4305051932661
"113","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0004_DAPI",66,14.5741230769231,10.6,43.9692307692308,18.2482,25.6769230769231,18.2482314760799
"114","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0005_DAPI",13,27.1977692307692,16.0769230769231,82.4615384615385,283.423923076923,1232.92307692308,283.42402409981
"115","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0006_DAPI",23,18.8693043478261,13.1739130434783,63.2608695652174,151.714304347826,775.217391304348,151.71439806388
"116","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0007_DAPI",44,19.3305,14.1363636363636,49.3409090909091,264.787159090909,1200.72727272727,264.787137888995
"117","Ind4","84-1","VEH","24T","VEH_24T","20X","DMSO_24T_EMP_250904_RGB_0008_DAPI",120,25.0421916666667,17.0166666666667,66.1583333333333,422.5974,1676.70833333333,422.597476491004
"118","Ind4","84-1","DOX","144R","DOX_144R","20X","DOX_144R_EMP_250904_RGB_0001_DAPI",26,12.78392,9.64,40.08,28.4936,96,28.4936480800701
"119","Ind4","84-1","DOX","144R","DOX_144R","20X","DOX_144R_EMP_250904_RGB_0002_DAPI",35,13.49471875,9.46875,44.96875,37.8840625,163.53125,37.8840472655185
